column,mae,masked_cells,model_name,rmse,split
__all__,7.263987246508604,14227,modern_tcn,35.00339564255299,test
in_medium_temp1,1.4739757713558461,568.0,modern_tcn,2.516541137826041,test
in_medium_temp2,1.5345625567425416,549.0,modern_tcn,2.7037966692702966,test
in_temp,1.4632230605213168,556.0,modern_tcn,3.0551622416707995,test
in_temp2,1.2649331389566287,555.0,modern_tcn,2.6495873881341607,test
in_water_hot,1.4753935457730103,536.0,modern_tcn,2.275672016801337,test
in_water_cold,1.512775567563035,555.0,modern_tcn,2.2451437285679043,test
in_hum,2.5089793543668963,558.0,modern_tcn,4.164760094032226,test
in_hum2,2.5633501752190604,508.0,modern_tcn,4.0135814469621955,test
in_medium_hum1,1.757459460808187,568.0,modern_tcn,2.652199383204288,test
in_medium_hum2,2.820625103392952,543.0,modern_tcn,3.597122436732033,test
in_co2,4.4059589739740845,507.0,modern_tcn,6.426006510066894,test
in_co2_2,4.64660162295706,532.0,modern_tcn,6.183053558339507,test
in_medium_ec1,0.1653866555610964,550.0,modern_tcn,0.20697369091423978,test
in_medium_ec2,0.10505485930343271,557.0,modern_tcn,0.1265989709063095,test
etc_blackout,0.021326188862488413,543.0,modern_tcn,0.029094515699746845,test
etc_plc_abnorm,0.04680807403436582,523.0,modern_tcn,0.05800262539798972,test
etc_plc_norm,0.10677537221194452,534.0,modern_tcn,0.16526233998027245,test
out_temp,2.5283136266837323,544.0,modern_tcn,3.4866553156325657,test
out_hum,3.697849718632802,536.0,modern_tcn,5.183583697428036,test
out_winddirec,50.34333399208422,568.0,modern_tcn,71.95672167443773,test
out_windsp,0.501828297077405,539.0,modern_tcn,0.6853018494452595,test
out_light,95.73468531552157,579.0,modern_tcn,157.56557448229503,test
out_light_sum,0.024083760649234325,555.0,modern_tcn,0.03342250882086913,test
out_rainfall,0.2121855887253545,545.0,modern_tcn,1.3539453793394958,test
out_rain,0.05412932789409781,539.0,modern_tcn,0.12521991819945483,test
out_airpress,0.9088754719874479,580.0,modern_tcn,1.2791831000436626,test
__all__,5.886162802928861,12730,timesnet,28.1162418749483,validation
in_medium_temp1,1.2340811898520603,546.0,timesnet,1.940567873443615,validation
in_medium_temp2,0.9413411854273951,493.0,timesnet,1.8423389662165413,validation
in_temp,0.9633262829760267,456.0,timesnet,1.843480264921072,validation
in_temp2,0.8990898581042588,482.0,timesnet,1.766957975176619,validation
in_water_hot,1.1131267823279976,480.0,timesnet,2.0700025698761406,validation
in_water_cold,1.0957020095231578,480.0,timesnet,2.300870852125002,validation
in_hum,3.925813939457768,483.0,timesnet,7.430683126803506,validation
in_hum2,3.4213635157307087,497.0,timesnet,6.709727774149727,validation
in_medium_hum1,1.1701208445369575,503.0,timesnet,1.6549990476243246,validation
in_medium_hum2,1.2201196928918943,473.0,timesnet,1.9412781790401588,validation
in_co2,5.1788117846618205,488.0,timesnet,8.590991717257522,validation
in_co2_2,5.753447625996196,475.0,timesnet,10.101530462768217,validation
in_medium_ec1,0.11425972071854022,512.0,timesnet,0.14513397812687912,validation
in_medium_ec2,0.06780351789055548,516.0,timesnet,0.09118009485439948,validation
etc_blackout,7.579174487139311e-30,487.0,timesnet,1.0312312960702397e-29,validation
etc_plc_abnorm,8.497630153645875e-20,481.0,timesnet,1.1230674452358563e-19,validation
etc_plc_norm,0.11709905150008676,508.0,timesnet,0.20240122902774627,validation
out_temp,2.009419246268621,440.0,timesnet,3.557704341504258,validation
out_hum,3.1037900948639905,461.0,timesnet,6.1153981194728955,validation
out_winddirec,43.40180048002736,471.0,timesnet,67.09844001263835,validation
out_windsp,0.5445868603331107,475.0,timesnet,0.6925513423956194,validation
out_light,68.59795591592874,553.0,timesnet,118.5245053421389,validation
out_light_sum,8.012817865021087e-14,497.0,timesnet,1.0221619328063331e-13,validation
out_rainfall,0.05882785009460489,493.0,timesnet,0.07759108231403485,validation
out_rain,0.04949827990399039,483.0,timesnet,0.1284567484296322,validation
out_airpress,1.3706121520246464,497.0,timesnet,2.492980655729706,validation
__all__,7.196172910469807,14227,timesnet,35.499161837937876,test
in_medium_temp1,1.5896288149774729,568.0,timesnet,2.6903484305408734,test
in_medium_temp2,1.2537070731288023,549.0,timesnet,2.711673723660653,test
in_temp,1.5857649538974046,556.0,timesnet,3.2566308931504935,test
in_temp2,1.436419605146592,555.0,timesnet,2.951901831889134,test
in_water_hot,1.6897223379315083,536.0,timesnet,3.2013596928863692,test
in_water_cold,1.3144692814288823,555.0,timesnet,2.50614268128306,test
in_hum,2.826487638376163,558.0,timesnet,4.739674459473358,test
in_hum2,2.604511498185236,508.0,timesnet,4.4743178280084885,test
in_medium_hum1,1.9141685216463544,568.0,timesnet,2.6690499347815844,test
in_medium_hum2,2.2585798227463756,543.0,timesnet,3.091563916413368,test
in_co2,4.2330438349974555,507.0,timesnet,7.777163828343844,test
in_co2_2,4.468732452057894,532.0,timesnet,9.635239048208643,test
in_medium_ec1,0.18146991870586163,550.0,timesnet,0.24384177388969752,test
in_medium_ec2,0.0668057322902285,557.0,timesnet,0.0894511376006973,test
etc_blackout,8.211564664223455e-30,543.0,timesnet,1.2623270979588533e-29,test
etc_plc_abnorm,9.585625755300601e-20,523.0,timesnet,1.2668211395099215e-19,test
etc_plc_norm,0.10364985042665391,534.0,timesnet,0.1735201367307209,test
out_temp,2.534170586395292,544.0,timesnet,3.8590539846181624,test
out_hum,3.738815731926846,536.0,timesnet,6.017558719270159,test
out_winddirec,48.70629651826821,568.0,timesnet,71.77237571050416,test
out_windsp,0.5403084638709515,539.0,timesnet,0.7007923031783319,test
out_light,95.66028741762253,579.0,timesnet,160.05148394808506,test
out_light_sum,1.1815243780476415e-13,555.0,timesnet,2.225490039827609e-13,test
out_rainfall,0.18455679752637622,545.0,timesnet,1.353465726655614,test
out_rain,0.07260604955234051,539.0,timesnet,0.1415571217150261,test
out_airpress,1.170346409127661,580.0,timesnet,1.9350728246041338,test
__all__,5.4660106088566485,12730,patch_tst,25.38510484397972,validation
in_medium_temp1,1.170498529445608,546.0,patch_tst,1.7710107392757597,validation
in_medium_temp2,1.0036754513385797,493.0,patch_tst,1.72031954870558,validation
in_temp,0.8555833113021137,456.0,patch_tst,1.7439418701773661,validation
in_temp2,0.8234709392422414,482.0,patch_tst,1.6684498427602226,validation
in_water_hot,0.9450472560219428,480.0,patch_tst,1.5191400224344809,validation
in_water_cold,0.9723747009482158,480.0,patch_tst,1.8633049383273181,validation
in_hum,3.507384031780572,483.0,patch_tst,6.9935499341931955,validation
in_hum2,3.4695328705445303,497.0,patch_tst,6.51445669875801,validation
in_medium_hum1,0.9763673541480606,503.0,patch_tst,1.3841214095085645,validation
in_medium_hum2,0.9873601362547598,473.0,patch_tst,1.5507861018132045,validation
