crop,feature_variant,model,deployment_eligible,benchmark_status,training_time_seconds,hpo_total_time_seconds,inference_latency_median_ms,inference_latency_p95_ms,peak_cpu_memory_mb,peak_gpu_memory_mb,serialized_model_size_mb,artifact_directory_size_mb,device
melon,without_quality_flags,xgboost,True,completed,0.8342395779,716.366636,24.49397556,24.64879975,360.9257812,,0.5717849731,2.665288925,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,without_quality_flags,mlp,False,completed,13.94868816,757.4953298,16.9258751,17.46246368,167.5742188,,1.822306633,3.907520294,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,persistence,False,completed,4.397705197e-06,1.168809831e-05,8.998747915,11.25302389,162.1679688,,0.002489089966,0.1846513748,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,linear_regression,True,completed,0.05698627234,253.1534056,15.49540088,15.83142169,164.1367188,,0.01121711731,0.9517030716,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,linear_svr,True,completed,8.303903999,372.1084642,15.450757,15.83442017,164.0898438,,0.009993553162,1.141479492,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,knn,True,completed,0.01621236652,349.6733275,20.99917829,21.33317888,199.8632812,,31.64391613,32.77538967,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,extra_trees,True,completed,0.7983955871,2419.6294,193.5474798,235.0001588,209.9921875,,17.47883034,19.56725311,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,lightgbm,True,completed,0.3944981955,653.7410424,15.15023597,16.55399613,167.4921875,,0.6001558304,2.693422318,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,xgboost,True,completed,0.4414384309,697.694271,24.85246398,49.43074621,359.6914062,,0.413110733,2.505990982,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,without_quality_flags,mlp,True,completed,15.66387513,1155.346061,15.25708288,15.70503935,166.4414062,,1.290131569,3.376081467,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
