crop,feature_variant,model,model_family,baseline_only,deployment_eligible,candidate_status,validation_rollout_weighted_nrmse,one_step_nrmse,rollout_15min_nrmse,rollout_30min_nrmse,rollout_60min_nrmse,skill_vs_persistence_15min,skill_vs_persistence_30min,skill_vs_persistence_60min,physical_violation_rate_max,nan_inf_count_total
strawberry,without_quality_flags,knn,instance_based,False,True,completed,0.2643851292,0.1517600663,0.1946561793,0.2638525146,0.3611458616,-0.03901020397,0.0706103646,-0.001477942262,0,0
strawberry,without_quality_flags,extra_trees,tree_ensemble,False,True,completed,0.3012507797,0.19890038,0.2896326957,0.3312954121,0.3739981748,-0.8661404199,-0.458632395,-0.2819908824,0,0
strawberry,without_quality_flags,lightgbm,tree_ensemble,False,True,completed,0.2373329235,0.129416605,0.1791206065,0.2446859196,0.3203116742,0.04113272179,0.05203489651,0.006792525703,0,0
strawberry,without_quality_flags,xgboost,tree_ensemble,False,True,completed,0.2909865736,0.1461054526,0.2206120031,0.3186562023,0.385259978,-0.2912051984,-0.3523393724,-0.3015897132,0,0
strawberry,without_quality_flags,mlp,neural_network,False,False,completed,0.3546356554,0.2490846579,0.3040684661,0.3765389264,0.4527572401,-0.5071136881,-0.2714799512,-0.2728566804,0.0002505975788,0
melon,without_quality_flags,persistence,baseline,True,False,completed,0.1391880244,0.06470574295,0.0879304834,0.1275298398,0.20113389,0,0,0,0,0
melon,without_quality_flags,linear_regression,linear,False,False,completed,1.990783698,0.07706635254,0.1402220158,0.3349139542,4.152920098,-1.121901538,-2.186073248,-32.59411706,0.02214170692,0
melon,without_quality_flags,linear_svr,linear,False,False,completed,1.07016171,0.06063798467,0.09593351282,0.3024690161,2.152970285,-0.2312908496,-1.786314505,-10.78892768,0.02288934898,0
melon,without_quality_flags,knn,instance_based,False,True,completed,0.1254099917,0.06278670437,0.08070738412,0.1153297071,0.1798203151,-0.03242120025,-0.0654444921,-0.1008988342,0,0
melon,without_quality_flags,extra_trees,tree_ensemble,False,True,completed,0.128192201,0.0625300294,0.08223915204,0.1184706056,0.1840812911,-0.1189459261,-0.2019599842,-0.2841389745,0,0
melon,without_quality_flags,lightgbm,tree_ensemble,False,True,completed,0.1251007622,0.06406172779,0.08234212787,0.1159271703,0.1784116627,-0.01282290849,-0.008623574989,-0.02406038109,0,0
melon,without_quality_flags,xgboost,tree_ensemble,False,True,completed,0.1204984049,0.06138536306,0.07772541043,0.1117163679,0.1722801694,-0.008226063022,-0.05535525547,-0.06892467286,0,0
melon,without_quality_flags,mlp,neural_network,False,False,completed,23.50969731,0.06880916002,5.632343969,16.78358754,40.93806463,-123.298871,-276.1459875,-458.194729,0.1461352657,0
cucumber,without_quality_flags,persistence,baseline,True,False,completed,0.1457348362,0.06521010164,0.09044870453,0.1329309326,0.2115234138,0,0,0,0,0
cucumber,without_quality_flags,linear_regression,linear,False,True,completed,0.1874128248,0.06458699363,0.09582897494,0.1538091372,0.2901236702,-0.06445241961,-0.1490681259,-0.3708936089,0,0
cucumber,without_quality_flags,linear_svr,linear,False,True,completed,0.1787552724,0.06244849569,0.09116855691,0.1467116179,0.2763400274,-0.009081938893,-0.04825992869,-0.1673613328,0,0
cucumber,without_quality_flags,knn,instance_based,False,True,completed,0.1476894677,0.06503094085,0.09315345717,0.1354625494,0.213596788,-0.1068895951,-0.1259856837,-0.1290766588,0,0
cucumber,without_quality_flags,extra_trees,tree_ensemble,False,True,completed,0.112430894,0.05980959782,0.07716120381,0.1058949647,0.1578558781,0.08112975765,0.1326028317,0.1809697744,0,0
cucumber,without_quality_flags,lightgbm,tree_ensemble,False,True,completed,0.1116738331,0.05878782722,0.07533192856,0.1039796351,0.1578674139,0.1207746659,0.1759370699,0.2081266089,0,0
cucumber,without_quality_flags,xgboost,tree_ensemble,False,True,completed,0.1139233131,0.05985748399,0.07687882999,0.1058923656,0.1612550255,0.1041915959,0.1569685546,0.1889593524,0,0
cucumber,without_quality_flags,mlp,neural_network,False,True,completed,0.3817492617,0.1338902385,0.2532606443,0.3801944661,0.5408856647,-1.598302554,-1.804984432,-1.649806314,0,0
