crop,feature_variant,model,baseline_only,deployment_eligible,horizon,validation_window_count,physical_violation_rate,nan_inf_count,target,drift_slope_nmae,drift_slope_nmae_median,drift_slope_nmae_q90,drift_slope_nmae_cvar90
strawberry,with_quality_flags,mlp,False,False,30min,1441,0,0,indoor_temperature,0.01438312856,0.0103368952,0.03469964521,0.06118246071
strawberry,with_quality_flags,mlp,False,False,30min,1441,0,0,indoor_humidity,0.01859114547,0.01473747053,0.04548200404,0.06725412234
strawberry,with_quality_flags,mlp,False,False,30min,1441,0,0,indoor_co2,-0.02347622233,0.0009265516337,0.006025430333,0.08516252496
strawberry,with_quality_flags,mlp,False,False,60min,1441,0.0003662579998,0,all_targets,0.009678336785,0.009674829291,0.02263997906,0.04149095513
strawberry,with_quality_flags,mlp,False,False,60min,1441,0.0003662579998,0,indoor_temperature,0.01228442801,0.008545035299,0.0280365638,0.04786257597
strawberry,with_quality_flags,mlp,False,False,60min,1441,0.0003662579998,0,indoor_humidity,0.02222103137,0.01624870231,0.04573385102,0.08116693697
strawberry,with_quality_flags,mlp,False,False,60min,1441,0.0003662579998,0,indoor_co2,-0.005470449029,0.0007126330791,0.005302660841,0.04248564413
melon,with_quality_flags,persistence,True,False,15min,483,0,0,all_targets,0.01367547967,0.0125462847,0.04018723685,0.05811271963
melon,with_quality_flags,persistence,True,False,15min,483,0,0,indoor_temperature,0.0183982622,0.01124417835,0.04705256171,0.06054557574
melon,with_quality_flags,persistence,True,False,15min,483,0,0,indoor_humidity,0.01509745751,0.01116429662,0.05135576444,0.07937368323
melon,with_quality_flags,persistence,True,False,15min,483,0,0,indoor_co2,0.007530719283,8.942265287e-18,0.05159343849,0.09323024851
melon,with_quality_flags,persistence,True,False,30min,483,0,0,all_targets,0.0161485861,0.01272651921,0.0369798495,0.05043894624
melon,with_quality_flags,persistence,True,False,30min,483,0,0,indoor_temperature,0.01823729851,0.01260336474,0.04538199807,0.05826900157
melon,with_quality_flags,persistence,True,False,30min,483,0,0,indoor_humidity,0.01597715522,0.01028391208,0.04160008308,0.06417042402
melon,with_quality_flags,persistence,True,False,30min,483,0,0,indoor_co2,0.01423130457,0.008844589456,0.04569704552,0.07075671565
melon,with_quality_flags,persistence,True,False,60min,483,0,0,all_targets,0.01612667175,0.01258000584,0.03345954069,0.04595970044
melon,with_quality_flags,persistence,True,False,60min,483,0,0,indoor_temperature,0.01773312657,0.01221798831,0.04300731885,0.05423117915
melon,with_quality_flags,persistence,True,False,60min,483,0,0,indoor_humidity,0.01638920489,0.01211365219,0.03794424325,0.0547379074
melon,with_quality_flags,persistence,True,False,60min,483,0,0,indoor_co2,0.01425768377,0.009561021819,0.03925430845,0.05790732083
melon,with_quality_flags,linear_regression,False,False,15min,483,0,0,all_targets,0.04315918102,0.04112743002,0.09003190716,0.1020000433
melon,with_quality_flags,linear_regression,False,False,15min,483,0,0,indoor_temperature,0.01514587848,0.01310000193,0.03320593252,0.04320302246
melon,with_quality_flags,linear_regression,False,False,15min,483,0,0,indoor_humidity,0.03260100883,0.01629379702,0.1089705171,0.1654495582
melon,with_quality_flags,linear_regression,False,False,15min,483,0,0,indoor_co2,0.08173065576,0.06803858964,0.2059556766,0.2430682298
melon,with_quality_flags,linear_regression,False,False,30min,483,0,0,all_targets,0.07022384011,0.05563205024,0.1505968432,0.2290065039
melon,with_quality_flags,linear_regression,False,False,30min,483,0,0,indoor_temperature,0.01893747103,0.01645040769,0.04167246934,0.05188320143
melon,with_quality_flags,linear_regression,False,False,30min,483,0,0,indoor_humidity,0.08811174596,0.02562118717,0.2797321445,0.3885873566
melon,with_quality_flags,linear_regression,False,False,30min,483,0,0,indoor_co2,0.1036223033,0.09103921257,0.2178410313,0.30585467
melon,with_quality_flags,linear_regression,False,False,60min,483,0.02219921785,0,all_targets,0.3824961265,0.0684003438,1.51209574,2.314684645
melon,with_quality_flags,linear_regression,False,False,60min,483,0.02219921785,0,indoor_temperature,0.04516993323,0.02342977871,0.1223954083,0.1951314548
melon,with_quality_flags,linear_regression,False,False,60min,483,0.02219921785,0,indoor_humidity,0.3596134471,0.03233400554,1.335750093,2.028955576
melon,with_quality_flags,linear_regression,False,False,60min,483,0.02219921785,0,indoor_co2,0.7427049993,0.1408592657,2.924720491,4.724060229
melon,with_quality_flags,linear_svr,False,False,15min,483,0,0,all_targets,0.0224171839,0.0136806841,0.06752643509,0.09847668083
melon,with_quality_flags,linear_svr,False,False,15min,483,0,0,indoor_temperature,0.01274409391,0.01039849808,0.02876013042,0.03915045479
melon,with_quality_flags,linear_svr,False,False,15min,483,0,0,indoor_humidity,0.02721136099,0.01299648636,0.08910402278,0.1423613977
melon,with_quality_flags,linear_svr,False,False,15min,483,0,0,indoor_co2,0.02729609681,0.01265857314,0.1080496666,0.1723932964
melon,with_quality_flags,linear_svr,False,False,30min,483,0,0,all_targets,0.05974028064,0.02325745064,0.1750722702,0.2428574782
melon,with_quality_flags,linear_svr,False,False,30min,483,0,0,indoor_temperature,0.0127858863,0.01018928449,0.02898384019,0.03856518821
melon,with_quality_flags,linear_svr,False,False,30min,483,0,0,indoor_humidity,0.08218936628,0.02720427818,0.262222657,0.3690848032
melon,with_quality_flags,linear_svr,False,False,30min,483,0,0,indoor_co2,0.08424558933,0.0340376143,0.268921473,0.3583654252
melon,with_quality_flags,linear_svr,False,False,60min,483,0.02231423971,0,all_targets,0.2055797821,0.02709052625,0.6999101876,1.082909071
melon,with_quality_flags,linear_svr,False,False,60min,483,0.02231423971,0,indoor_temperature,0.02358757309,0.010798835,0.06360182048,0.1126723132
melon,with_quality_flags,linear_svr,False,False,60min,483,0.02231423971,0,indoor_humidity,0.3873665914,0.0377033954,1.421250695,2.226755509
melon,with_quality_flags,linear_svr,False,False,60min,483,0.02231423971,0,indoor_co2,0.2057851818,0.03533765118,0.6776188386,0.9231720443
melon,with_quality_flags,knn,False,True,15min,483,0,0,all_targets,0.01058468015,0.008590126758,0.03465270873,0.05082205621
